央视频道,#genre#
安阳公共,http://115.48.63.9:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
安阳新闻综合,http://115.48.63.9:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
安阳科教,http://115.48.63.9:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
山东体育,http://123.129.70.178:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
山东少儿,http://123.129.70.178:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
山东影视,http://112.234.23.155:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
山东生活,http://112.234.23.155:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#http://123.129.70.178:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
山东综艺,http://123.129.70.178:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
崇明综合,http://61.173.144.157:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
新闻综合,http://61.173.144.157:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-tianjinbh
梨园,http://115.48.63.9:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-cctvliyuan
永州新闻综合,http://222.243.221.54:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
江苏城市,http://58.216.229.130:9901/tsfile/live/0120_3.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
江苏综艺,http://58.216.229.130:9901/tsfile/live/0120_4.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河北都市,http://120.0.8.181:8086/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南公共,http://115.48.63.9:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南新农村,http://115.48.63.9:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南新闻,http://115.48.63.9:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南民生,http://115.48.63.9:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
河南法制,http://115.48.63.9:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0,cntv-NULL
